"uid"	"domainID"	"siteID"	"plotID"	"namedLocation"	"laboratoryName"	"collectDate"	"processedDate"	"geneticSampleID"	"deprecatedVialID"	"dnaSampleID"	"internalLabID"	"sequenceAnalysisType"	"testProtocolVersion"	"sampleMaterial"	"sampleMass"	"nucleicAcidConcentration"	"nucleicAcidPurity"	"nucleicAcidQuantMethod"	"dnaPooledStatus"	"qaqcStatus"	"dnaProcessedBy"	"remarks"	"dataQF"	"publicationDate"
"139"	"3094e249-7264-470c-a3f7-353f36718e07"	"D01"	"BART"	"BART_040"	"BART_040.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-18 16:56:00	2017-06-12	"BART_040-O-14.5-7-20160418-GEN"	NA	"BART_040-O-14.5-7-20160418-GEN-DNA1"	"BMI_Plate1WellH10"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	29	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"140"	"ed7008bf-636a-4957-9aac-10af2a756eb7"	"D01"	"BART"	"BART_040"	"BART_040.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-18 17:29:00	2017-06-12	"BART_040-O-0.5-20-20160418-GEN"	NA	"BART_040-O-0.5-20-20160418-GEN-DNA1"	"BMI_Plate1WellH6"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	26	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"141"	"fbbc5872-7894-429f-9c53-471c28df2f65"	"D01"	"BART"	"BART_040"	"BART_040.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-18 17:49:00	2017-06-12	"BART_040-O-32-23-20160418-GEN"	NA	"BART_040-O-32-23-20160418-GEN-DNA1"	"BMI_Plate1WellG9"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	46	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"142"	"4a82bdd4-2bf1-4b12-b150-750de6ffb9a6"	"D01"	"BART"	"BART_071"	"BART_071.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-18 18:24:00	2017-06-12	"BART_071-O-8-13-20160418-GEN"	NA	"BART_071-O-8-13-20160418-GEN-DNA1"	"BMI_Plate1WellB6"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	23	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"143"	"659a337b-ef4c-4915-a577-b807ffdd6b11"	"D01"	"BART"	"BART_071"	"BART_071.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-18 18:44:00	2017-06-12	"BART_071-O-28-3-20160418-GEN"	NA	"BART_071-O-28-3-20160418-GEN-DNA1"	"BMI_Plate1WellH5"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	22	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"145"	"843090e6-1fea-4f76-9b00-bd9b21841fee"	"D01"	"BART"	"BART_001"	"BART_001.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-19 14:30:00	2017-06-12	"BART_001-O-8-25.5-20160419-GEN"	NA	"BART_001-O-8-25.5-20160419-GEN-DNA1"	"BMI_Plate1WellF8"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	66	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"146"	"3fcd3119-8918-4fd1-95c1-f6564c5090d9"	"D01"	"BART"	"BART_001"	"BART_001.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-19 14:57:00	2017-06-12	"BART_001-O-20-36.5-20160419-GEN"	NA	"BART_001-O-20-36.5-20160419-GEN-DNA1"	"BMI_Plate1WellE10"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	20	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"148"	"334acdd3-3a83-409e-a336-2bb7f84d2f03"	"D01"	"BART"	"BART_004"	"BART_004.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-19 17:50:00	2017-06-12	"BART_004-O-0-13.5-20160419-GEN"	NA	"BART_004-O-0-13.5-20160419-GEN-DNA1"	"BMI_Plate1WellF12"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	31	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"152"	"0f700d0d-7f00-4a69-81a6-154e0083e87c"	"D01"	"BART"	"BART_023"	"BART_023.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-20 15:38:00	2017-11-22	"BART_023-O-0.5-8.5-20160420-GEN"	NA	"BART_023-O-0.5-8.5-20160420-GEN-DNA1"	"BMI_Plate18WellF9"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	6.6	NA	"Quantus"	"N"	"Pass"	"RVyJ5B/Sf3DYxyju9jcgbA=="	NA	NA	"20200407T134816Z"
"153"	"33392e70-1eb2-4881-be42-1f4705f09710"	"D01"	"BART"	"BART_023"	"BART_023.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-20 16:00:00	2017-11-22	"BART_023-O-36-34-20160420-GEN"	NA	"BART_023-O-36-34-20160420-GEN-DNA1"	"BMI_Plate18WellG5"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	22	NA	"Quantus"	"N"	"Pass"	"RVyJ5B/Sf3DYxyju9jcgbA=="	NA	NA	"20200407T134816Z"
"154"	"25c0503e-2071-4218-a87b-a5cbf9d06f51"	"D01"	"BART"	"BART_024"	"BART_024.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-20 16:51:00	2017-06-12	"BART_024-O-35.5-1-20160420-GEN"	NA	"BART_024-O-35.5-1-20160420-GEN-DNA1"	"BMI_Plate1WellF11"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	36	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"156"	"508c6dbe-b8d8-46d0-9123-0e4d5c904296"	"D01"	"BART"	"BART_024"	"BART_024.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-20 17:30:00	2017-11-22	"BART_024-O-6-35-20160420-GEN"	NA	"BART_024-O-6-35-20160420-GEN-DNA1"	"BMI_Plate18WellF6"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	36	NA	"Quantus"	"N"	"Pass"	"RVyJ5B/Sf3DYxyju9jcgbA=="	NA	NA	"20200407T134816Z"
"157"	"c1229eba-6139-4e45-892a-64bc0c9baf9a"	"D01"	"BART"	"BART_036"	"BART_036.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-25 15:53:00	2017-06-12	"BART_036-O-1-6-20160425-GEN"	NA	"BART_036-O-1-6-20160425-GEN-DNA1"	"BMI_Plate1WellF10"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	45	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
"159"	"9d896658-5b81-4cb7-9364-e961f54200a3"	"D01"	"BART"	"BART_036"	"BART_036.basePlot.bgc"	"Battelle Applied Genomics"	2016-04-25 17:04:00	2017-06-12	"BART_036-O-34-29.5-20160425-GEN"	NA	"BART_036-O-34-29.5-20160425-GEN-DNA1"	"BMI_Plate1WellC7"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	15	NA	NA	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T134816Z"
