"uid","laboratoryName","processedDate","batchID","lipidID","analysisStandardID","lotNumber","analyteKnownValue","analyteObservedValue","analyteUnits","extractEffStdID","extractEffStdUnits","analyteStandardQF","dataQF","publicationDate"
"f4171843-df58-4814-843c-3657958e900a",NA,2019-10-31,"20191031 Set 12_2","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.86,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20201008T132517Z"
"07ed82f6-8dd3-4138-a1b2-518c6e42ed85",NA,2019-10-31,"20191031 Set 12_2","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.52,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20201008T132517Z"
"744c7cbe-7de0-4c23-b79c-19f7f5897f7c",NA,2019-10-31,"20191031 Set 12_2","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.58,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20201008T132517Z"
"8f0a9671-cda4-4eee-8fed-6ac5d2841216",NA,2019-10-31,"20191031 Set 12_2","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.07,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20201008T132517Z"
"f259e1b0-4184-4048-aa94-b5ca955bc784",NA,2019-10-31,"20191031 Set 12_2","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.65,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20201008T132517Z"
"ce92377a-4706-4895-8fca-f98f6b0be725",NA,2019-04-22,"20190422 Set 8","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,31.53,"mg/ml",NA,NA,NA,NA,"20201008T132517Z"
"fb0cb89e-e08c-4f2b-9ec1-ee465f095f5a",NA,2019-04-22,"20190422 Set 8","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,29.95,"mg/ml",NA,NA,NA,NA,"20201008T132517Z"
"2a5b3ab8-c03d-4eca-8cc8-98dd4612db04",NA,2019-04-22,"20190422 Set 8","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.09,"mg/ml",NA,NA,NA,NA,"20201008T132517Z"
"beba0f40-0ce0-4aa0-9770-4edc1dd5fe07",NA,2019-04-22,"20190422 Set 8","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,28.78,"mg/ml","c21:0Concentration","mg/ml",NA,NA,"20201008T132517Z"
"1af472b4-edf2-4c41-bc83-7474aefb2b6b",NA,2019-04-22,"20190422 Set 8","c16 30ug/ml","Supelco 37 component FAME mix, CRM47885 Supelco","LRAB5516",30,30.14,"mg/ml",NA,NA,NA,NA,"20201008T132517Z"
